code_insee;code_postal;commune;superficie;population;classe_potentiel;identifiant;departement;region;milieu;polluant;quantite;score_pollution;nb_usines_polluantes;score_traitement;score_final;lat;long
88356;88600;LES_POULIERES;303.0;0.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;48.20358554332527;6.78630426171414
54534;54570;TRONDES;1247.0;0.5;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.72344074733611;5.772278419833587
14053;14620;BEAUMAIS;1065.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.89922826978695;-0.07108225918032701
87114;87350;PANAZOL;2006.0;10.3;3.0;6002903.0;HAUTE-VIENNE;NOUVELLE-AQUITAINE;;;0.0;5e-08;0.0;4.8e-05;3.00004805;45.84073321783113;1.323577917153823
55430;55290;RIBEAUCOURT;1249.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.544175090809766;5.356694051471778
84033;84400;CASTELLET;954.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.83445226898023;5.4811665724145024
85302;85130;LA_VERRIE;4318.0;3.7;3.0;58503791.0;VENDEE;PAYS-DE-LA-LOIRE;Air;Ammoniac (NH3);13700.0;0.00137;0.0;0.0;3.00137;46.963477452137305;-0.9853400060894271
61241;61110;LA_MADELEINE_BOUVET;1289.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.46881513898216;0.8987814860827841
15123;15200;MEALLET;2186.0;0.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.262763801524166;2.414698197128987
78310;78550;HOUDAN;1040.0;3.3;1.0;6515255.0;YVELINES;ILE-DE-FRANCE;;;0.0;5e-08;0.6000000000000001;0.0;1.6000000500000002;48.79889731569749;1.5967709964553292
59441;59570;OBIES;544.0;0.7000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.269295041382996;3.776086686698066
27502;27250;RUGLES;1408.0;2.4;1.0;5800483.0;EURE;NORMANDIE;Air;Composés organiques volatils non méthaniques (COVNM);205000.0;0.041;3.3000000000000003;0.0;4.341;48.81576692231025;0.6913686554224
