identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0005603242;ISDI COMMUNE DE TREBAN;21030287300018;La Chassagne;03240;TREBAN;ALLIER;AUVERGNE-RHONE-ALPES;709020.000000;6590096.000000;2154;8411Z;Administration publique générale;;
0005201587;MAISADOUR SCA;78209229000025;Route de St Sever, B.P. N° 27;40280;HAUT-MAUCO;LANDES;NOUVELLE-AQUITAINE;415523.000000;6310096.000000;2154;4621Z;Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;8.(b).(ii);matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
0005206793;La Grande Jaugue;50818282100027;Avenue de Touban;33160;SAINT-MEDARD-EN-JALLES;GIRONDE;NOUVELLE-AQUITAINE;406051.000000;6424284.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0006000385;INTERNATIONAL PAPER;63980456600037;BP 1;87720;SAILLAT-SUR-VIENNE;HAUTE-VIENNE;NOUVELLE-AQUITAINE;530547.000000;6532735.000000;2154;1712Z;Fabrication de papier et de carton;6.(b);Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour
0005301298;NOVARES;44269443600092;rue de l'industrie;14500;VIRE;CALVADOS;NORMANDIE;415227.000000;6868581.000000;2154;2932Z;Fabrication d'autres équipements automobiles;;
0005302858;PRESTIA GALVALEK;32859122700025;Rue du Poirier, ZI;14650;CARPIQUET;CALVADOS;NORMANDIE;449026.000000;6903964.000000;2154;2561Z;Traitement et revêtement des métaux;2.(c).(iii);par application de couches protectrices de métal en fusion avec une capacité de traitement de 2 tonnes d'acier brut par heure
0005515423;ATELIERS FOUESNANTAIS;35017920600031;ZA de Troyalac'h Sud;29170;SAINT-EVARZEC;FINISTERE;BRETAGNE;178111.000000;6786253.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(a);Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
0005701422;ONYX EST;30520541100765;"Lieu dit ""le grand Monfort""";51490;BEINE-NAUROY;MARNE;GRAND-EST;739890.000000;2474020.000000;27572;3811Z;Collecte des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
0005801774;SMURFIT KAPPA FRANCE;49325490800269;23, rue de l'Industrie, BP 803;27950;SAINT-MARCEL;EURE;NORMANDIE;587746.000000;6889939.000000;2154;1721A;Fabrication de carton ondulé;;
0006103839;SAVOIE REFRACTAIRES;33129259900023;10 RUE DE L'INDUSTRIE, BP 1;69200;VENISSIEUX;RHONE;AUVERGNE-RHONE-ALPES;846435.000000;6513925.000000;2154;2320Z;Fabrication de produits réfractaires;3.(g);Installations destinées à la fabrication de produits céramiques par cuisson, notamment de tuiles, de briques (simples ou réfractaires), de carrelages, de grès ou de porcelaines d'une capacité de production de 75 tonnes par jour, ou d'une capacité de four de 4 m3 et d'une densité d'enfournement de 300 kg/m3 par four
